date,forecast,cases
2020-03-02,1.814722855575729,1.0
2020-03-03,2.4320913153764945,1.0
2020-03-04,3.2520978593137726,1.0
2020-03-05,4.341227055080194,1.0
2020-03-06,5.787755809604916,2.0
2020-03-07,7.708880602954637,3.0
2020-03-08,10.260163929805463,5.0
2020-03-09,13.648044113376335,8.0
2020-03-10,18.146387206513516,12.0
2020-03-11,24.118356905761303,20.0
2020-03-12,32.045261033842706,32.0
2020-03-13,42.56451042004828,45.0
2020-03-14,56.51941100010894,65.0
2020-03-15,75.02420079483034,84.0
2020-03-16,99.54851206548295,112.0
2020-03-17,132.02620446453815,154.0
2020-03-18,174.9941005445762,198.0
2020-03-19,231.76620840053926,268.0
2020-03-20,306.6479079166388,345.0
2020-03-21,405.19122505309196,422.0
2020-03-22,534.4849855336191,503.0
2020-03-23,703.459800739569,596.0
2020-03-24,923.1642153521825,728.0
2020-03-25,1206.9315733066333,885.0
2020-03-26,1290.3017396855637,1038.0
2020-03-27,1377.79578311617,1197.0
2020-03-28,1469.562761818795,1363.0
2020-03-29,1565.7510069331202,1500.0
2020-03-30,1666.507326437637,1692.0
2020-03-31,1771.9761297567447,1880.0
2020-04-01,1882.2984790037658,2073.0
2020-04-02,1997.6110585297993,2230.0
2020-04-03,2118.045072188705,2415.0
2020-04-04,2243.7250702165948,2569.0
2020-04-05,2374.7677126582203,2668.0
2020-04-06,2511.2804725096235,2805.0
2020-04-07,2653.3602858563545,2951.0
2020-04-08,2801.092178826885,3074.0
2020-04-09,2954.547835597097,3207.0
2020-04-10,3113.78415713026,3323.0
2020-04-11,3278.841879532923,3566.0
2020-04-12,3449.7441466659834,3714.0
2020-04-13,3626.495149834949,3891.0
2020-04-14,3809.0788473409016,4104.0
2020-04-15,3997.4577423401524,4250.0
2020-04-16,4191.571791890035,4487.0
2020-04-17,4391.337458158271,4638.0
2020-04-18,4596.646890459374,4820.0
2020-04-19,4807.36732859603,5024.0
2020-04-20,5023.340648953539,5205.0
2020-04-21,5244.383261485185,5414.0
2020-04-22,5470.286122798977,5646.0
2020-04-23,5700.815041957217,5865.0
2020-04-24,5935.711313112242,6115.0
2020-04-25,6174.692536742034,6402.0
2020-04-26,6417.453799709157,6636.0
2020-04-27,6663.669065518889,6951.0
2020-04-28,6912.992867790199,7370.0
2020-04-29,7165.062220247913,7612.0
2020-04-30,7419.498778184548,7903.0
2020-05-01,7675.9111780638095,8188.0
2020-05-02,7933.89756661673,8337.0
2020-05-03,8193.048247330455,8449.0
2020-05-04,8452.948438718477,8461.0
2020-05-05,8713.181081714332,8613.0
2020-05-06,8973.329688901373,
2020-05-07,9232.981104872406,
2020-05-08,9491.728247251005,
2020-05-09,9749.17280455738,
2020-05-10,10004.92764040688,
2020-05-11,11016.315694085322,
2020-05-12,12021.512563157892,
2020-05-13,12992.304714017828,
2020-05-14,13904.528826746213,
2020-05-15,14740.225045428344,
2020-05-16,15488.511739099773,
2020-05-17,16145.25779040848,
2020-05-18,16711.913882578545,
2020-05-19,17193.96037602617,
2020-05-20,17599.35484976095,
2020-05-21,17937.220185278395,
2020-05-22,18216.869349820045,
2020-05-23,18447.16320568503,
2020-05-24,18636.144836216492,
2020-05-25,18790.877126004736,
2020-05-26,18917.415526594843,
2020-05-27,19020.861638802555,
2020-05-28,19105.458635437768,
2020-05-29,19174.702823758198,
2020-05-30,19231.45582401447,
2020-05-31,19278.048830031366,
2020-06-01,19316.375021723514,
2020-06-02,19347.96896357175,
2020-06-03,19374.073380926515,
2020-06-04,19395.694483488674,
2020-06-05,19413.64731905071,
2020-06-06,19428.592674391708,
2020-06-07,19441.066941851914,
2020-06-08,19451.506206654434,
2020-06-09,19460.265629509086,
2020-06-10,19467.635024336232,
2020-06-11,19473.851371285455,
2020-06-12,19479.10886943012,
2020-06-13,19483.56701757291,
2020-06-14,19487.357116102106,
2020-06-15,19490.5875051319,
2020-06-16,19493.347790651744,
2020-06-17,19495.712259991993,
2020-06-18,19497.742647031722,
2020-06-19,19499.49037528666,
2020-06-20,19500.99838107616,
2020-06-21,19502.302598468326,
2020-06-22,19503.433171280853,
2020-06-23,19504.415444449474,
2020-06-24,19505.270776615966,
2020-06-25,19506.0172077631,
2020-06-26,19506.670008799003,
2020-06-27,19507.242135043383,
2020-06-28,19507.74460120463,
2020-06-29,19508.18679209907,
2020-06-30,19508.576720703462,
2020-07-01,19508.921242895274,
2020-07-02,19509.226236551258,
2020-07-03,19509.496751203696,
2020-07-04,19509.737133390932,
